Origin	Tank	Treatment	n.init	n.final	molt_rate	mean_n
NNC	12	10C	60	46	0.00058651	52.54839
NNC	15	10C	60	46	0	53.06452
NNC	4	2C	60	54	0	57.77419
NNC	5	2C	60	55	0	57.41935
NNC	16	6C	60	59	0.000546747	59.35484
NNC	8	6C	60	51	0	53.19355
SLE	11	10C	64	55	0.018450324	58.96774
SLE	R1	10C	65	55	0.01871693	60.22581
SLE	4	2C	66	61	0.010691945	63.51613
SLE	5	2C	68	64	0.010881651	65.54839
SLE	12	6C	71	61	0.015807745	65.41935
SLE	6	6C	72	60	0.014558997	63.83871
SS	12	10C	60	49	0.020871742	56
SS	15	10C	60	52	0.022577664	57.22581
SS	4	2C	60	53	0.00169118	56.12903
SS	5	2C	60	56	0.001689708	58.48387
SS	16	6C	60	55	0.006346879	56.93548
SS	8	6C	60	54	0.008792839	57.03226
